314 3
50.000000 0.000000 0.000000
49.989990 1.000440 0.000000
49.959965 2.000480 0.000000
49.909936 2.999719 0.000000
49.839923 3.997757 0.000000
49.749955 4.994194 0.000000
49.640067 5.988632 0.000000
49.510304 6.980671 0.000000
49.360718 7.969916 0.000000
49.191367 8.955970 0.000000
49.002321 9.938438 0.000000
48.793655 10.916926 0.000000
48.565452 11.891043 0.000000
48.317803 12.860400 0.000000
48.050809 13.824607 0.000000
47.764576 14.783279 0.000000
47.459217 15.736031 0.000000
47.134857 16.682483 0.000000
46.791624 17.622256 0.000000
46.429656 18.554973 0.000000
46.049098 19.480260 0.000000
45.650103 20.397748 0.000000
45.232829 21.307069 0.000000
44.797445 22.207858 0.000000
44.344124 23.099756 0.000000
43.873047 23.982404 0.000000
43.384405 24.855450 0.000000
42.878391 25.718545 0.000000
42.355210 26.571342 0.000000
41.815070 27.413499 0.000000
41.258187 28.244681 0.000000
40.684785 29.064554 0.000000
40.095093 29.872789 0.000000
39.489347 30.669064 0.000000
38.867790 31.453059 0.000000
38.230670 32.224460 0.000000
37.578244 32.982959 0.000000
36.910771 33.728252 0.000000
36.228519 34.460040 0.000000
35.531762 35.178031 0.000000
34.820778 35.881937 0.000000
34.095853 36.571476 0.000000
33.357275 37.246372 0.000000
32.605342 37.906354 0.000000
31.840353 38.551160 0.000000
31.062616 39.180529 0.000000
30.272442 39.794212 0.000000
29.470146 40.391960 0.000000
28.656052 40.973537 0.000000
27.830483 41.538707 0.000000
26.993772 42.087246 0.000000
26.146252 42.618934 0.000000
25.288263 43.133557 0.000000
24.420150 43.630910 0.000000
23.542258 44.110793 0.000000
22.654941 44.573015 0.000000
21.758552 45.017390 0.000000
20.853452 45.443740 0.000000
19.940002 45.851895 0.000000
19.018568 46.241692 0.000000
18.089520 46.612973 0.000000
17.153228 46.965591 0.000000
16.210069 47.299405 0.000000
15.260419 47.614280 0.000000
14.304659 47.910090 0.000000
13.343171 48.186718 0.000000
12.376341 48.444052 0.000000
11.404555 48.681990 0.000000
10.428204 48.900435 0.000000
9.447677 49.099302 0.000000
8.463367 49.278509 0.000000
7.475668 49.437985 0.000000
6.484976 49.577667 0.000000
5.491688 49.697499 0.000000
4.496201 49.797431 0.000000
3.498913 49.877426 0.000000
2.500225 49.937450 0.000000
1.500535 49.977479 0.000000
0.500245 49.997497 0.000000
-0.500245 49.997497 0.000000
-1.500535 49.977479 0.000000
-2.500225 49.937450 0.000000
